%Дата;Номенклатура Наименование;Организация Наименование;ДвижениеНП
05.01.2024;Авиатопливо ТС-1;Организация2;356,431
06.01.2024;Авиатопливо ТС-1;Организация2;116,106
18.01.2024;Авиатопливо ТС-1;Организация2;-63,391
19.01.2024;Авиатопливо ТС-1;Организация2;-58,112
11.01.2024;Авиатопливо ТС-1;Организация2;-110,205
14.01.2024;Авиатопливо ТС-1;Организация2;354,484
15.01.2024;Авиатопливо ТС-1;Организация2;108,612
22.01.2024;Авиатопливо ТС-1;Организация2;-35,497
23.01.2024;Авиатопливо ТС-1;Организация2;-13,952
24.01.2024;Авиатопливо ТС-1;Организация2;-119,03
25.01.2024;Авиатопливо ТС-1;Организация2;-18
26.01.2024;Авиатопливо ТС-1;Организация2;-119,758
29.01.2024;Авиатопливо ТС-1;Организация2;-100,432
30.01.2024;Авиатопливо ТС-1;Организация2;-149,356
01.02.2024;Авиатопливо ТС-1;Организация2;-243,959
02.02.2024;Авиатопливо ТС-1;Организация2;-152,909
03.02.2024;Авиатопливо ТС-1;Организация2;-55,5
29.02.2024;Авиатопливо ТС-1;Организация2;-154,877
08.02.2024;Авиатопливо ТС-1;Организация2;-129,097
10.02.2024;Авиатопливо ТС-1;Организация2;-80
11.02.2024;Авиатопливо ТС-1;Организация2;-93
12.02.2024;Авиатопливо ТС-1;Организация2;-71
13.02.2024;Авиатопливо ТС-1;Организация2;-182,172
14.02.2024;Авиатопливо ТС-1;Организация2;-279,024
15.02.2024;Авиатопливо ТС-1;Организация2;-153,455
16.02.2024;Авиатопливо ТС-1;Организация2;-77,99
20.02.2024;Авиатопливо ТС-1;Организация2;-121,679
22.02.2024;Авиатопливо ТС-1;Организация2;-138,607
23.02.2024;Авиатопливо ТС-1;Организация2;582,554
27.02.2024;Авиатопливо ТС-1;Организация2;-27,71
28.02.2024;Авиатопливо ТС-1;Организация2;-83,853
01.03.2024;Авиатопливо ТС-1;Организация2;188,964
02.03.2024;Авиатопливо ТС-1;Организация2;292,318
05.03.2024;Авиатопливо ТС-1;Организация2;-48,411
06.03.2024;Авиатопливо ТС-1;Организация2;-40,675
11.03.2024;Авиатопливо ТС-1;Организация2;-63,287
12.03.2024;Авиатопливо ТС-1;Организация2;-29,548
18.03.2024;Авиатопливо ТС-1;Организация2;-29,268
19.03.2024;Авиатопливо ТС-1;Организация2;-131,769
20.03.2024;Авиатопливо ТС-1;Организация2;-149,563
22.03.2024;Авиатопливо ТС-1;Организация2;-97,669
29.03.2024;Авиатопливо ТС-1;Организация2;-67,178
30.03.2024;Авиатопливо ТС-1;Организация2;235,205
31.03.2024;Авиатопливо ТС-1;Организация2;464,212
25.03.2024;Авиатопливо ТС-1;Организация2;-57,763
26.03.2024;Авиатопливо ТС-1;Организация2;119,979
09.04.2024;Авиатопливо ТС-1;Организация2;-135,498
10.04.2024;Авиатопливо ТС-1;Организация2;67,353
19.04.2024;Авиатопливо ТС-1;Организация2;-254,003
21.04.2024;Авиатопливо ТС-1;Организация2;287,647
05.04.2024;Авиатопливо ТС-1;Организация2;214,893
06.04.2024;Авиатопливо ТС-1;Организация2;80,685
14.04.2024;Авиатопливо ТС-1;Организация2;-60
16.04.2024;Авиатопливо ТС-1;Организация2;-165,882
18.04.2024;Авиатопливо ТС-1;Организация2;-208,694
24.04.2024;Авиатопливо ТС-1;Организация2;-91,4
25.04.2024;Авиатопливо ТС-1;Организация2;-251,894
03.04.2024;Авиатопливо ТС-1;Организация2;-24,098
04.04.2024;Авиатопливо ТС-1;Организация2;-30,402
01.04.2024;Авиатопливо ТС-1;Организация2;234,464
02.04.2024;Авиатопливо ТС-1;Организация2;180,014
27.04.2024;Авиатопливо ТС-1;Организация2;-83,134
29.04.2024;Авиатопливо ТС-1;Организация2;237,432
30.04.2024;Авиатопливо ТС-1;Организация2;309,531
07.04.2024;Авиатопливо ТС-1;Организация2;127,5
26.04.2024;Авиатопливо ТС-1;Организация2;-23,087
17.04.2024;Авиатопливо ТС-1;Организация2;-123,434
07.05.2024;Авиатопливо ТС-1;Организация2;152,052
08.05.2024;Авиатопливо ТС-1;Организация2;78,051
09.05.2024;Авиатопливо ТС-1;Организация2;357,11
10.05.2024;Авиатопливо ТС-1;Организация2;173,126
11.05.2024;Авиатопливо ТС-1;Организация2;-24,3
13.05.2024;Авиатопливо ТС-1;Организация2;-83,895
14.05.2024;Авиатопливо ТС-1;Организация2;-56,84
15.05.2024;Авиатопливо ТС-1;Организация2;-90,95
16.05.2024;Авиатопливо ТС-1;Организация2;-150,16
17.05.2024;Авиатопливо ТС-1;Организация2;45,182
31.05.2024;Авиатопливо ТС-1;Организация2;7,933
22.05.2024;Авиатопливо ТС-1;Организация2;121,749
