%Дата;Номенклатура Наименование;Организация Наименование;Фактическое количество
31.08.2024;Авиатопливо ТС-1;Организация2;61,982
31.01.2025;Авиатопливо ТС-1;Организация2;247,969
31.01.2024;Авиатопливо ТС-1;Организация2;0,000
30.09.2025;Авиатопливо ТС-1;Организация2;111,639
31.12.2024;Авиатопливо ТС-1;Организация2;340,504
30.11.2025;Авиатопливо ТС-1;Организация2;118,767
31.03.2025;Авиатопливо ТС-1;Организация2;196,340
31.07.2024;Авиатопливо ТС-1;Организация2;0,000
30.11.2025;Авиатопливо ТС-1;Организация2;78,180
31.05.2024;Авиатопливо ТС-1;Организация2;355,703
30.11.2025;Авиатопливо ТС-1;Организация2;63,168
30.09.2025;Авиатопливо ТС-1;Организация2;63,168
31.12.2024;Авиатопливо ТС-1;Организация2;128,786
31.01.2025;Авиатопливо ТС-1;Организация2;304,561
31.08.2024;Авиатопливо ТС-1;Организация2;171,689
28.02.2025;Авиатопливо ТС-1;Организация2;0,000
28.02.2025;Авиатопливо ТС-1;Организация2;240,000
31.03.2025;Авиатопливо ТС-1;Организация2;0,000
28.02.2025;Авиатопливо ТС-1;Организация2;65,640
31.03.2025;Авиатопливо ТС-1;Организация2;0,000
31.10.2025;Авиатопливо ТС-1;Организация2;347,575
30.11.2024;Авиатопливо ТС-1;Организация2;0,000
31.07.2024;Авиатопливо ТС-1;Организация2;0,000
30.09.2025;Авиатопливо ТС-1;Организация2;0,000
30.06.2024;Авиатопливо ТС-1;Организация2;43,427
30.09.2025;Авиатопливо ТС-1;Организация2;26,556
31.10.2024;Авиатопливо ТС-1;Организация2;114,326
30.11.2025;Авиатопливо ТС-1;Организация2;0,000
30.09.2024;Авиатопливо ТС-1;Организация2;0,000
31.01.2024;Авиатопливо ТС-1;Организация2;0,000
30.06.2024;Авиатопливо ТС-1;Организация2;0,000
30.11.2025;Авиатопливо ТС-1;Организация2;231,141
31.01.2025;Авиатопливо ТС-1;Организация2;340,058
30.09.2025;Авиатопливо ТС-1;Организация2;118,767
31.01.2025;Авиатопливо ТС-1;Организация2;196,340
30.09.2024;Авиатопливо ТС-1;Организация2;0,000
31.12.2025;Авиатопливо ТС-1;Организация2;0,000
31.08.2024;Авиатопливо ТС-1;Организация2;250,699
31.01.2024;Авиатопливо ТС-1;Организация2;116,106
31.12.2025;Авиатопливо ТС-1;Организация2;112,210
31.01.2025;Авиатопливо ТС-1;Организация2;128,786
31.08.2024;Авиатопливо ТС-1;Организация2;439,231
30.11.2025;Авиатопливо ТС-1;Организация2;175,568
30.09.2025;Авиатопливо ТС-1;Организация2;231,141
30.04.2024;Авиатопливо ТС-1;Организация2;174,443
30.09.2024;Авиатопливо ТС-1;Организация2;0,000
31.03.2025;Авиатопливо ТС-1;Организация2;388,460
31.03.2025;Авиатопливо ТС-1;Организация2;65,640
31.01.2024;Авиатопливо ТС-1;Организация2;108,612
30.04.2024;Авиатопливо ТС-1;Организация2;0,000
30.06.2025;Авиатопливо ТС-1;Организация2;65,640
31.12.2024;Авиатопливо ТС-1;Организация2;0,000
30.04.2024;Авиатопливо ТС-1;Организация2;0,000
31.10.2025;Авиатопливо ТС-1;Организация2;225,666
30.11.2024;Авиатопливо ТС-1;Организация2;55,582
30.11.2025;Авиатопливо ТС-1;Организация2;63,168
30.11.2025;Авиатопливо ТС-1;Организация2;55,679
28.02.2025;Авиатопливо ТС-1;Организация2;335,986
30.09.2025;Авиатопливо ТС-1;Организация2;175,568
31.10.2025;Авиатопливо ТС-1;Организация2;175,568
30.09.2024;Авиатопливо ТС-1;Организация2;171,689
31.12.2025;Авиатопливо ТС-1;Организация2;129,284
